City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,ancud,-41.8697,-73.8203,286.74,83,50,4.32,CL,['dt']
160,fort bragg,35.139,-79.006,282.49,52,0,3.09,US,['dt']
161,tahoua,14.8888,5.2692,292.99,9,43,5.16,NE,['dt']
162,shar,49.5886,81.0453,267.87,72,69,9.6,KZ,['dt']
163,kerikeri,-35.2268,173.9474,297.36,60,78,3.53,NZ,['dt']
164,katsuura,35.1333,140.3,278.49,47,0,1.75,JP,['dt']
165,hengchun,22.0042,120.7439,294.32,64,15,8.7,TW,['dt']
166,ulsteinvik,62.3432,5.8487,279.68,87,100,5.36,NO,['dt']
167,port blair,11.6667,92.75,295.17,94,20,0.51,IN,['dt']
168,sirjan,29.452,55.6814,279.74,57,98,2.64,IR,['dt']
169,beau vallon,-20.4189,57.6953,301.05,94,75,6.69,MU,['dt']
170,manakara,-22.1333,48.0167,296.98,83,96,0.23,MG,['dt']
171,sao gabriel da cachoeira,-0.1303,-67.0892,296.46,97,74,0.28,BR,['dt']
172,chonchi,-42.6128,-73.8092,287.71,87,71,2.2,CL,['dt']
173,kruisfontein,-34.0033,24.7314,291.42,80,92,0.39,ZA,['dt']
174,geraldton,-28.7667,114.6,297.38,73,100,5.14,AU,['dt']
175,behompy,-23.2496,43.8557,296.99,90,99,1.4,MG,['dt']
176,papao,-17.75,-149.55,303.97,80,100,8.31,PF,['dt']
177,kapa'a,22.0752,-159.319,298.33,53,0,7.72,US,['dt']
178,gadzhiyevo,69.2551,33.3362,265.88,71,100,7.47,RU,['dt']
179,songea,-10.6833,35.65,291.46,94,100,1.66,TZ,['dt']
180,afaahiti,-17.75,-149.2833,303.08,83,100,7.97,PF,['dt']
181,nagqu,31.5,92.0,263.72,42,91,0.99,CN,['dt']
182,aykhal,66.0,111.5,237.22,100,99,3.19,RU,['dt']
183,roma,43.2128,-75.4557,273.68,75,100,4.63,US,['dt']
184,letterkenny,54.95,-7.7333,278.26,85,98,1.92,IE,['dt']
185,vanimo,-2.6741,141.3028,300.85,84,100,1.05,PG,['dt']
186,huarmey,-10.0681,-78.1522,297.5,77,41,4.66,PE,['dt']
187,namdrik,5.5994,168.1028,301.02,79,88,9.94,MH,['dt']
188,nouadhibou,20.931,-17.0347,293.14,83,100,5.66,MR,['dt']
189,selfoss,63.9331,-20.9971,270.4,76,63,2.89,IS,['dt']
190,zabaykal'sk,49.6333,117.3167,246.54,88,5,3.59,RU,['dt']
191,nantucket,41.2835,-70.0995,281.49,76,0,13.38,US,['dt']
192,dunedin,-45.8742,170.5036,288.04,90,100,1.34,NZ,['dt']
193,aasiaat,68.7098,-52.8699,265.45,78,100,2.7,GL,['dt']
194,el granada,37.5027,-122.4694,288.09,89,100,7.72,US,['dt']
195,twon-brass,4.3151,6.2418,301.32,75,52,4.18,NG,['dt']
196,sinop,41.7711,34.8709,266.36,83,23,3.9,TR,['dt']
197,college,64.8569,-147.8028,250.12,70,75,1.54,US,['dt']
198,santona,43.4439,-3.4576,286.6,78,86,2.04,ES,['dt']
199,sosnytsya,51.5239,32.4999,261.2,95,93,3.72,UA,['dt']
200,vodnyy,63.5046,53.4095,262.27,92,100,3.68,RU,['dt']
201,maun,-19.9833,23.4167,296.13,100,75,2.06,BW,['dt']
202,atafu village,-8.5421,-172.5159,302.4,74,87,4.61,TK,['dt']
203,cullinan,-25.6709,28.5236,291.04,71,73,0.97,ZA,['dt']
204,bakanas,44.8081,76.2772,279.39,74,100,6.1,KZ,['dt']
205,howrah,22.5892,88.3103,284.15,93,0,1.54,IN,['dt']
206,stanley,54.868,-1.6985,274.55,92,20,2.06,GB,['dt']
207,arraial do cabo,-22.9661,-42.0278,300.07,89,75,1.03,BR,['dt']
208,beaupreau,47.2046,-0.987,272.69,71,99,1.88,FR,['dt']
209,vilhena,-12.7406,-60.1458,296.27,100,75,3.09,BR,['dt']
210,tutoia,-2.7619,-42.2744,299.3,80,100,4.49,BR,['dt']
211,aoulef,26.9667,1.0833,287.3,31,25,5.15,DZ,['dt']
212,pudozh,61.8099,36.5345,259.79,94,100,4.92,RU,['dt']
213,east ballina,-28.8667,153.5833,301.37,74,92,7.88,AU,['dt']
214,cururupu,-1.8283,-44.8683,296.23,96,100,1.24,BR,['dt']
215,kodiak,57.79,-152.4072,277.88,100,100,4.12,US,['dt']
216,tynda,55.1667,124.7167,245.82,92,98,2.11,RU,['dt']
217,kolonia,50.9333,6.95,275.91,85,100,4.12,DE,['dt']
218,vadso,70.0744,29.7487,263.24,73,100,8.23,NO,['dt']
219,sur,22.5667,59.5289,293.97,77,2,2.71,OM,['dt']
220,cuencame de ceniceros,24.8711,-103.6964,291.48,14,0,3.24,MX,['dt']
221,rudnichnyy,59.617,52.4703,261.14,91,100,4.17,RU,['dt']
222,dudinka,69.4058,86.1778,237.41,91,77,2.24,RU,['dt']
223,minas de marcona,-15.2119,-75.1103,291.77,78,28,6.09,PE,['dt']
224,levuka,50.1834,-105.4011,239.05,94,92,4.41,CA,['dt']
225,aqsay,51.1678,52.995,247.77,98,35,3.86,KZ,['dt']
226,rio grande,-32.035,-52.0986,296.21,73,2,7.68,BR,['dt']
227,nangen,35.41,127.3858,276.88,70,1,1.02,KR,['dt']
228,ofunato,39.0717,141.7167,275.9,61,30,3.74,JP,['dt']
229,sitka,57.0531,-135.33,272.09,86,100,3.09,US,['dt']
230,san andres,12.5847,-81.7006,301.16,74,20,3.6,CO,['dt']
231,lusaka,-15.4067,28.2871,290.39,99,99,1.83,ZM,['dt']
232,namibe,-15.1961,12.1522,294.44,72,94,2.75,AO,['dt']
233,mili,6.0815,171.735,300.52,77,100,10.95,MH,['dt']
234,sandakan,5.8402,118.1179,300.97,83,40,3.13,MY,['dt']
235,al fuwayliq,26.4432,43.2534,289.77,35,89,3.85,SA,['dt']
236,leon valley,29.4952,-98.6186,291.15,49,20,2.57,US,['dt']
237,port elizabeth,-33.918,25.5701,293.32,90,40,1.54,ZA,['dt']
238,znamenskoye,57.1281,73.8282,267.43,95,100,4.79,RU,['dt']
239,mahuta,-10.8667,39.45,294.18,97,100,1.26,TZ,['dt']
240,nadi,-17.8,177.4167,304.15,70,75,5.14,FJ,['dt']
241,hluti,-27.2167,31.6167,294.38,97,73,0.34,SZ,['dt']
242,christchurch,-43.5333,172.6333,298.94,38,100,3.09,NZ,['dt']
243,lebowakgomo,-24.2,29.5,293.65,70,100,1.55,ZA,['dt']
244,tokar,18.4254,37.729,297.37,75,10,2.31,SD,['dt']
245,daru,-9.0763,143.2092,299.76,85,100,2.94,PG,['dt']
246,ta`u,-14.2336,-169.5144,300.37,81,100,7.58,AS,['dt']
247,yeppoon,-23.1333,150.7333,302.03,77,87,6.19,AU,['dt']
248,makassar,-5.14,119.4221,300.18,94,40,2.06,ID,['dt']
249,oroqen zizhiqi,50.5667,123.7167,255.51,63,21,5.15,CN,['dt']
250,axim,4.8699,-2.2405,299.91,82,2,2.75,GH,['dt']
251,perundurai,11.2667,77.5833,294.42,88,82,0.89,IN,['dt']
252,nova sintra,14.8667,-24.7167,294.82,70,100,8.0,CV,['dt']
253,kapuskasing,49.4169,-82.4331,254.2,78,100,6.69,CA,['dt']
254,khorixas,-20.3667,14.9667,293.11,41,94,2.18,NA,['dt']
255,santa cruz,-17.8,-63.1667,302.18,70,40,5.14,BO,['dt']
256,port moresby,-9.4431,147.1797,301.83,79,40,5.14,PG,['dt']
257,south valley,35.0101,-106.6781,281.92,35,20,4.12,US,['dt']
258,bodo,67.28,14.405,269.23,79,75,5.66,NO,['dt']
259,kimbe,-5.5502,150.1429,303.43,71,100,0.71,PG,['dt']
260,onega,63.9061,38.1404,262.85,95,100,4.37,RU,['dt']
261,misratah,32.3754,15.0925,288.88,52,71,9.65,LY,['dt']
262,maiyama,12.0841,4.3677,294.68,14,99,4.88,NG,['dt']
263,druzhny,53.6238,27.8977,261.29,95,100,4.87,BY,['dt']
264,udachny,66.4167,112.4,239.01,97,99,2.68,RU,['dt']
265,kudahuvadhoo,2.6708,72.8944,300.75,78,41,7.28,MV,['dt']
266,burutu,5.3509,5.5076,300.61,74,68,2.39,NG,['dt']
267,kaya,13.0917,-1.0844,295.73,10,25,3.8,BF,['dt']
268,hammerfest,70.6634,23.6821,267.4,79,75,2.57,NO,['dt']
269,veseloyarsk,51.2836,81.1056,270.73,72,98,10.97,RU,['dt']
270,mabaruma,8.2,-59.7833,296.91,84,10,1.94,GY,['dt']
271,quellon,-43.1167,-73.6167,286.16,88,91,3.16,CL,['dt']
272,kingston,17.997,-76.7936,301.68,77,20,7.2,JM,['dt']
273,bogatyye saby,56.0102,50.4483,256.02,94,99,5.78,RU,['dt']
274,pacocha,-17.5833,-71.3333,294.73,84,50,2.33,PE,['dt']
275,karkira,36.9292,6.5856,283.53,72,6,2.41,DZ,['dt']
276,fort mcmurray,56.7268,-111.381,237.92,68,0,1.03,CA,['dt']
277,mlowo,-9.0,32.9833,288.78,97,100,1.21,TZ,['dt']
278,hami,42.8,93.45,268.52,61,8,1.29,CN,['dt']
279,carnarvon,-24.8667,113.6333,297.01,75,6,6.41,AU,['dt']
280,mirnyy,62.5353,113.9611,254.5,96,100,2.56,RU,['dt']
281,yasuj,30.6682,51.588,276.9,81,40,0.0,IR,['dt']
282,kavieng,-2.5744,150.7967,302.42,72,100,1.85,PG,['dt']
283,saldanha,-33.0117,17.9442,290.18,92,45,3.64,ZA,['dt']
284,junction city,39.0286,-96.8314,253.46,65,0,3.13,US,['dt']
285,galveston,29.3669,-94.9669,289.21,67,0,3.6,US,['dt']
286,beyneu,45.3167,55.2,260.99,84,23,4.71,KZ,['dt']
287,porbandar,21.6422,69.6093,293.03,62,1,4.35,IN,['dt']
288,okhotsk,59.3833,143.3,240.96,82,1,4.37,RU,['dt']
289,brisas de zicatela,15.8369,-97.0419,299.06,85,51,1.49,MX,['dt']
290,floro,61.5996,5.0328,276.46,87,75,8.75,NO,['dt']
291,klyuchi,52.2667,79.1667,268.64,79,95,7.58,RU,['dt']
292,brenham,30.1669,-96.3977,289.03,55,0,2.57,US,['dt']
293,fort st. john,56.2499,-120.8529,241.09,68,20,2.06,CA,['dt']
294,cascais,38.6979,-9.4215,289.78,93,100,7.15,PT,['dt']
295,brezina,33.0989,1.2608,283.76,31,100,2.3,DZ,['dt']
296,lys'va,58.1086,57.8053,243.33,100,99,1.01,RU,['dt']
297,bubaque,11.2833,-15.8333,298.99,80,70,2.63,GW,['dt']
298,bayganin,48.6947,55.8742,250.18,97,96,5.26,KZ,['dt']
299,lihue,21.9789,-159.3672,297.92,53,0,7.72,US,['dt']
300,izhevsk,56.85,53.2333,254.89,86,99,0.45,RU,['dt']
301,karagandy,49.8019,73.1021,274.12,97,98,11.92,KZ,['dt']
302,anadyr,64.75,177.4833,261.43,85,100,5.0,RU,['dt']
303,chyhyryn,49.0838,32.6555,266.85,93,98,5.06,UA,['dt']
304,mount gambier,-37.8333,140.7667,291.75,52,82,6.07,AU,['dt']
305,tibagi,-24.5094,-50.4136,292.99,90,94,1.96,BR,['dt']
306,pangkalanbuun,-2.6833,111.6167,297.88,93,100,1.35,ID,['dt']
307,boali,4.8005,18.1275,297.72,23,100,2.0,CF,['dt']
308,acarau,-2.8856,-40.12,299.0,86,96,4.16,BR,['dt']
